着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師,race_id,着順,枠番,馬番,人気
1,2.0,2.0,クリアミッション,牡3,56.0,大庭和弥,1:20.4,,9.4,5.0,506(+2),[東] 土田稔,202005010101,,,,
2,1.0,1.0,エストラード,牡3,56.0,江田照男,1:20.4,アタマ,8.3,4.0,478(+2),[東] 武市康男,202005010101,,,,
3,5.0,9.0,マッチャパフェ,牝3,54.0,武藤雅,1:20.4,アタマ,10.5,6.0,446(-4),[東] 林徹,202005010101,,,,
4,3.0,4.0,コルニリア,牡3,56.0,嘉藤貴行,1:20.6,3/4,19.3,9.0,440(+2),[東] 大和田成,202005010101,,,,
5,7.0,12.0,ローズオブシャロン,牝3,54.0,石橋脩,1:20.6,クビ,7.3,3.0,458(0),[東] 大竹正博,202005010101,,,,
6,3.0,5.0,バーンパッション,牡3,56.0,大野拓弥,1:20.7,クビ,20.2,10.0,468(+2),[東] 中川公成,202005010101,,,,
7,6.0,10.0,ユタカサン,牡3,56.0,吉田豊,1:20.7,アタマ,17.4,8.0,486(+8),[東] 竹内正洋,202005010101,,,,
8,4.0,7.0,サイモンバトラー,牡3,56.0,田辺裕信,1:20.7,ハナ,15.0,7.0,462(+12),[東] 矢野英一,202005010101,,,,
9,4.0,6.0,コパノラクラク,牝3,54.0,宮崎北斗,1:20.8,1/2,97.2,12.0,442(+4),[東] 和田勇介,202005010101,,,,
10,8.0,14.0,コーラルティアラ,牝3,54.0,横山典弘,1:20.8,アタマ,3.4,1.0,460(-2),[東] 和田勇介,202005010101,,,,
11,2.0,3.0,ストームファルコン,牡3,56.0,Ｍ．デム,1:20.9,3/4,4.4,2.0,472(+2),[東] 水野貴広,202005010101,,,,
12,8.0,15.0,マサノゴールデン,牝3,54.0,北村宏司,1:21.4,3,31.4,11.0,476(-18),[東] 木村哲也,202005010101,,,,
13,5.0,8.0,マインレッド,牝3,54.0,菅原隆一,1:23.1,大,451.2,15.0,436(+8),[東] 小野次郎,202005010101,,,,
14,6.0,11.0,アイアンカレン,牝3,54.0,丹内祐次,1:23.7,3.1/2,271.9,13.0,408(+2),[東] 青木孝文,202005010101,,,,
15,7.0,13.0,サンテンプル,牝3,53.0,野中悠太,1:26.2,大,389.3,14.0,418(-6),[東] 伊藤伸一,202005010101,,,,
1,8.0,16.0,エヴァジョーネ,牝3,54.0,武豊,1:27.2,,8.0,3.0,428(0),[西] 安田翔伍,202005010102,,,,
2,3.0,6.0,ラブアドベンチャー,牝3,54.0,横山典弘,1:27.3,1/2,12.9,4.0,468(0),[東] 尾関知人,202005010102,,,,
3,1.0,1.0,ヴィエントアスール,牡3,56.0,ルメール,1:27.3,クビ,4.2,2.0,470(0),[西] 鈴木孝志,202005010102,,,,
4,6.0,11.0,ムーンダイアローグ,牡3,56.0,ミナリク,1:27.6,2,20.4,6.0,436(0),[東] 矢野英一,202005010102,,,,
5,5.0,9.0,キアナポラリス,牝3,54.0,柴田善臣,1:28.2,3.1/2,67.1,8.0,432(0),[東] 国枝栄,202005010102,,,,
6,5.0,10.0,ジャックオレンジ,牡3,55.0,野中悠太,1:28.2,アタマ,37.6,7.0,482(0),[東] 武井亮,202005010102,,,,
7,4.0,7.0,ワンチーム,牡3,54.0,木幡育也,1:28.4,1.1/4,78.7,9.0,458(0),[東] 清水英克,202005010102,,,,
8,7.0,13.0,マテンロウヴァモス,牡3,56.0,マーフィ,1:28.6,1.1/2,1.6,1.0,512(0),[西] 藤原英昭,202005010102,,,,
9,2.0,3.0,エメラルディ,牝3,54.0,横山和生,1:29.7,7,16.2,5.0,484(0),[東] 勢司和浩,202005010102,,,,
10,6.0,12.0,ウインオーサム,牡3,56.0,松岡正海,1:29.7,クビ,105.2,11.0,462(0),[東] 中舘英二,202005010102,,,,
11,8.0,15.0,ジニービーチ,牝3,54.0,丹内祐次,1:29.7,ハナ,153.6,13.0,480(0),[東] 上原博之,202005010102,,,,
12,2.0,4.0,ベルダリーター,牝3,54.0,嘉藤貴行,1:30.4,4,79.8,10.0,466(0),[東] 水野貴広,202005010102,,,,
13,4.0,8.0,サンディロン,牝3,54.0,田中勝春,1:30.5,クビ,163.9,14.0,426(0),[東] 宗像義忠,202005010102,,,,
14,7.0,14.0,ツウカイヴィータ,牝3,54.0,石川裕紀,1:30.8,1.3/4,108.7,12.0,454(0),[東] 高橋裕,202005010102,,,,
15,3.0,5.0,マリノエヴァ,牝3,54.0,菅原隆一,1:31.5,4,325.1,16.0,426(0),[東] 的場均,202005010102,,,,
16,1.0,2.0,エクセルチェイサー,牡3,56.0,村田一誠,1:34.7,大,274.9,15.0,486(0),[東] 天間昭一,202005010102,,,,
1,6.0,12.0,シゲルミカヅキ,牡3,56.0,ルメール,1:39.5,,3.1,1.0,452(+4),[東] 伊藤圭三,202005010103,,,,
2,4.0,8.0,ハイエストエンド,牡3,56.0,田辺裕信,1:39.6,1/2,6.4,3.0,500(-6),[東] 小西一男,202005010103,,,,
3,8.0,16.0,クロッチ,セ3,56.0,丹内祐次,1:39.6,クビ,90.1,13.0,458(-12),[東] 杉浦宏昭,202005010103,,,,
4,2.0,4.0,ハットルヴァン,牡3,56.0,大野拓弥,1:39.9,1.3/4,8.4,5.0,496(-6),[東] 菊沢隆徳,202005010103,,,,
5,7.0,14.0,リンガスウォリアー,牡3,56.0,石川裕紀,1:40.0,クビ,45.0,10.0,476(+10),[東] 中舘英二,202005010103,,,,
6,1.0,1.0,キンブレル,牡3,56.0,武豊,1:40.0,クビ,7.0,4.0,466(0),[東] 矢野英一,202005010103,,,,
7,4.0,7.0,ベルウッドヨウサン,セ3,56.0,北村宏司,1:40.1,1/2,69.9,12.0,476(-20),[東] 中舘英二,202005010103,,,,
8,5.0,10.0,ワンモアエフォート,牡3,56.0,横山和生,1:40.2,3/4,10.9,6.0,490(+6),[東] 勢司和浩,202005010103,,,,
9,5.0,9.0,リュードマン,牡3,56.0,横山典弘,1:40.3,1/2,20.9,7.0,470(+2),[東] 中川公成,202005010103,,,,
10,3.0,6.0,アナザーチャンス,牡3,56.0,江田照男,1:40.3,クビ,104.3,14.0,452(+8),[東] 小笠倫弘,202005010103,,,,
11,3.0,5.0,グラスディアブロ,牡3,56.0,ミナリク,1:40.6,2,41.6,9.0,460(-4),[東] 手塚貴久,202005010103,,,,
12,8.0,15.0,トーセンスプリント,牡3,56.0,柴田善臣,1:40.8,1.1/4,64.0,11.0,472(-2),[東] 小野次郎,202005010103,,,,
13,6.0,11.0,セイプレシャス,牝3,53.0,菊沢一樹,1:41.1,1.3/4,289.1,16.0,420(-2),[東] 浅野洋一,202005010103,,,,
14,7.0,13.0,リュウノチョッパー,牡3,56.0,松岡正海,1:41.3,1.1/4,23.2,8.0,460(-8),[東] 伊藤伸一,202005010103,,,,
15,2.0,3.0,フジコウキ,牡3,55.0,野中悠太,1:41.5,1.1/4,112.8,15.0,464(0),[東] 高市圭二,202005010103,,,,
16,1.0,2.0,オプティマス,牡3,56.0,マーフィ,1:41.8,2,4.4,2.0,478(+4),[東] 国枝栄,202005010103,,,,
1,7.0,9.0,ロンゴノット,牡3,56.0,武豊,1:37.4,,2.7,2.0,486(-2),[東] 高柳瑞樹,202005010104,,,,
2,8.0,10.0,ラブリーエンジェル,牝3,54.0,武藤雅,1:37.7,2,19.9,8.0,432(0),[東] 堀井雅広,202005010104,,,,
3,2.0,2.0,タイセイポリシー,牡3,56.0,内田博幸,1:38.0,2,17.6,6.0,488(+6),[東] 栗田徹,202005010104,,,,
4,6.0,7.0,ニシノレオニダス,牡3,56.0,松岡正海,1:38.0,ハナ,14.4,5.0,514(+6),[東] 中舘英二,202005010104,,,,
5,7.0,8.0,ケンシンコウ,牡3,56.0,丸山元気,1:38.1,1/2,12.7,3.0,472(-2),[東] 小西一男,202005010104,,,,
6,4.0,4.0,フリーフロー,牡3,56.0,大野拓弥,1:38.2,1/2,18.7,7.0,478(-6),[東] 宗像義忠,202005010104,,,,
7,1.0,1.0,サンライズラポール,牡3,56.0,ルメール,1:38.5,1.3/4,2.2,1.0,496(0),[西] 平田修,202005010104,,,,
8,6.0,6.0,ジャッジ,牡3,56.0,北村宏司,1:38.5,ハナ,13.8,4.0,488(+8),[東] 和田雄二,202005010104,,,,
9,3.0,3.0,ケイツーキナ,牝3,52.0,木幡育也,1:39.1,3.1/2,184.2,11.0,466(+2),[東] 大江原哲,202005010104,,,,
10,8.0,11.0,エウロパ,牝3,54.0,木幡巧也,1:39.7,3.1/2,28.1,9.0,464(+10),[東] 尾形和幸,202005010104,,,,
11,5.0,5.0,アジュバント,牡3,56.0,吉田豊,1:40.6,5,58.9,10.0,454(0),[東] 上原博之,202005010104,,,,
1,7.0,14.0,ラキャラントシス,牝3,54.0,津村明秀,1:36.5,,14.8,5.0,480(-2),[東] 鈴木伸尋,202005010105,,,,
2,4.0,8.0,スピードオブラブ,牝3,54.0,北村宏司,1:36.6,1/2,5.1,2.0,436(-2),[東] 中川公成,202005010105,,,,
3,8.0,15.0,ロジアイリッシュ,牝3,54.0,ルメール,1:36.8,1,8.8,4.0,494(-6),[東] 国枝栄,202005010105,,,,
4,2.0,3.0,タイキスウォード,牡3,56.0,マーフィ,1:36.9,1/2,2.0,1.0,450(0),[東] 高橋祥泰,202005010105,,,,
5,4.0,7.0,オメガエリタージュ,牡3,56.0,武豊,1:36.9,ハナ,5.9,3.0,448(0),[東] 斎藤誠,202005010105,,,,
6,1.0,2.0,トランペットシェル,牡3,56.0,柴田善臣,1:37.0,3/4,19.9,7.0,494(-4),[東] 大江原哲,202005010105,,,,
7,7.0,13.0,ボウイッシュ,牝3,54.0,武藤雅,1:37.3,2,23.4,8.0,430(-8),[東] 戸田博文,202005010105,,,,
8,3.0,5.0,レリスタット,牝3,54.0,石橋脩,1:37.3,クビ,52.0,9.0,442(+2),[東] 奥村武,202005010105,,,,
9,3.0,6.0,ココニアル,牝3,54.0,大野拓弥,1:37.3,アタマ,54.9,10.0,444(+8),[東] 和田勇介,202005010105,,,,
10,6.0,11.0,カミノホウオー,牡3,55.0,野中悠太,1:37.6,2,90.7,11.0,510(+14),[東] 竹内正洋,202005010105,,,,
11,5.0,9.0,リネンミッション,牝3,54.0,丹内祐次,1:37.6,クビ,303.9,13.0,412(-14),[東] 南田美知,202005010105,,,,
12,8.0,16.0,デルマアメジスト,牝3,54.0,江田照男,1:37.7,1/2,397.5,14.0,448(-8),[東] 蛯名利弘,202005010105,,,,
13,5.0,10.0,エフティクルーク,牡3,56.0,伊藤工真,1:37.8,3/4,15.1,6.0,458(-6),[東] 金成貴史,202005010105,,,,
14,1.0,1.0,ワイルドブリット,牡3,56.0,井上敏樹,1:38.6,5,529.9,16.0,450(+8),[東] 根本康広,202005010105,,,,
15,6.0,12.0,サンバーバンク,牝3,52.0,木幡育也,1:38.6,クビ,508.7,15.0,418(0),[東] 粕谷昌央,202005010105,,,,
16,2.0,4.0,ジャジャウマ,牝3,53.0,菊沢一樹,1:39.0,2.1/2,250.6,12.0,420(+12),[東] 深山雅史,202005010105,,,,
1,5.0,5.0,ダノングロワール,牡3,56.0,マーフィ,2:26.5,,2.2,1.0,488(-4),[東] 国枝栄,202005010106,,,,
2,2.0,2.0,リスペクト,牡3,56.0,ルメール,2:27.2,4,3.4,2.0,468(+6),[東] 奥村武,202005010106,,,,
3,7.0,9.0,ホウオウハルカス,牡3,56.0,松岡正海,2:27.7,3,3.6,3.0,470(-6),[東] 斎藤誠,202005010106,,,,
4,5.0,6.0,ブレーナード,牡3,56.0,ミナリク,2:28.0,1.3/4,17.9,4.0,434(-2),[東] 高橋祥泰,202005010106,,,,
5,3.0,3.0,セイウンノワール,牝3,54.0,田中勝春,2:28.9,5,28.3,6.0,510(0),[東] 尾形和幸,202005010106,,,,
6,4.0,4.0,インディードシチー,牡3,56.0,吉田豊,2:29.2,1.3/4,176.9,11.0,502(+10),[東] 上原博之,202005010106,,,,
7,1.0,1.0,トロピカルビーチ,牝3,54.0,丹内祐次,2:29.5,2,37.3,8.0,422(+2),[東] 和田雄二,202005010106,,,,
8,6.0,7.0,カガジャスティス,牡3,56.0,岩部純二,2:29.6,クビ,32.0,7.0,512(-2),[東] 萱野浩二,202005010106,,,,
9,8.0,11.0,エアリアルシティー,牡3,56.0,江田照男,2:29.7,3/4,115.8,10.0,472(-8),[東] 石毛善彦,202005010106,,,,
10,7.0,10.0,クリノファイヤー,牝3,54.0,柴田善臣,2:30.3,3.1/2,47.4,9.0,462(0),[東] 本間忍,202005010106,,,,
11,8.0,12.0,フィジーマジック,牡3,54.0,木幡育也,2:30.6,2,289.4,12.0,438(+4),[東] 加藤和宏,202005010106,,,,
12,6.0,8.0,ワイルドフレーズ,牡3,56.0,石川裕紀,2:31.1,3,20.7,5.0,476(+4),[東] 黒岩陽一,202005010106,,,,
1,1.0,2.0,シセイタケル,牡5,57.0,マーフィ,1:24.9,,3.3,1.0,472(+2),[東] 高橋文雅,202005010107,,,,
2,5.0,10.0,ポップアップスター,牡6,57.0,ルメール,1:25.1,1,3.6,2.0,534(+14),[東] 金成貴史,202005010107,,,,
3,2.0,3.0,クワトロダッシュ,牡5,57.0,木幡巧也,1:25.2,1/2,29.7,7.0,490(0),[東] 牧光二,202005010107,,,,
4,6.0,11.0,ディナミーデン,牡5,57.0,田辺裕信,1:25.3,3/4,7.7,5.0,480(-4),[東] 田島俊明,202005010107,,,,
5,8.0,16.0,フジノタカネ,牡4,57.0,武豊,1:25.4,3/4,6.8,4.0,520(-4),[東] 手塚貴久,202005010107,,,,
6,7.0,13.0,ハルメキ,牝5,53.0,木幡育也,1:25.5,3/4,5.6,3.0,454(+2),[東] 深山雅史,202005010107,,,,
7,2.0,4.0,チャンダナ,牝4,55.0,津村明秀,1:25.6,3/4,125.4,12.0,474(-2),[東] 粕谷昌央,202005010107,,,,
8,8.0,15.0,ラブインブルーム,牝4,54.0,菊沢一樹,1:26.1,3,173.3,13.0,416(-34),[東] 萱野浩二,202005010107,,,,
9,4.0,7.0,ロードシュタルク,牡4,57.0,武藤雅,1:26.4,1.3/4,59.3,11.0,448(+8),[東] 高柳瑞樹,202005010107,,,,
10,6.0,12.0,テキーラ,牡4,57.0,横山和生,1:26.4,ハナ,213.1,15.0,538(+15),[東] 勢司和浩,202005010107,,,,
11,3.0,6.0,ヤマチョウヴォイス,牡4,57.0,石川裕紀,1:26.5,1/2,203.3,14.0,458(+6),[東] 相沢郁,202005010107,,,,
12,3.0,5.0,ストームウォリアー,セ4,57.0,北村宏司,1:26.8,1.3/4,31.5,8.0,488(-5),[東] 中川公成,202005010107,,,,
13,4.0,8.0,ライクトゥシャイン,牡4,57.0,大野拓弥,1:27.0,1.1/2,37.1,9.0,440(-6),[東] 小笠倫弘,202005010107,,,,
14,7.0,14.0,マノアフォールズ,牡4,57.0,松岡正海,1:27.4,2.1/2,16.1,6.0,470(+10),[東] 斎藤誠,202005010107,,,,
15,1.0,1.0,ジュンノサップ,牡4,57.0,内田博幸,1:27.6,1.1/4,40.7,10.0,484(-4),[東] 畠山吉宏,202005010107,,,,
16,5.0,9.0,クリーンガーベラ,牝4,54.0,野中悠太,1:27.8,1.1/4,345.5,16.0,456(-14),[東] 鈴木伸尋,202005010107,,,,
1,8.0,15.0,アイファーキングズ,牡4,56.0,マーフィ,2:11.3,,2.3,1.0,490(-2),[西] 鮫島一歩,202005010108,,,,
2,4.0,7.0,ヴォウジラール,牡5,57.0,ルメール,2:11.3,ハナ,4.2,2.0,530(0),[東] 尾関知人,202005010108,,,,
3,4.0,8.0,サクラアリュール,牡5,57.0,北村宏司,2:11.6,1.1/2,5.0,3.0,470(-2),[西] 村山明,202005010108,,,,
4,5.0,9.0,ヴィジョンオブラヴ,牡5,57.0,Ｍ．デム,2:12.3,4,15.9,6.0,502(+6),[東] 新開幸一,202005010108,,,,
5,3.0,6.0,トモノコテツ,牡5,57.0,武豊,2:12.6,2,13.2,4.0,474(-2),[西] 浜田多実,202005010108,,,,
6,3.0,5.0,スピンドクター,セ5,57.0,ミナリク,2:12.6,クビ,15.7,5.0,456(-18),[西] 野中賢二,202005010108,,,,
7,7.0,13.0,インザバブル,牡7,57.0,木幡巧也,2:12.6,ハナ,74.8,13.0,506(-4),[東] 新開幸一,202005010108,,,,
8,6.0,12.0,フーズサイド,牡4,56.0,武士沢友,2:12.8,3/4,43.6,8.0,490(+2),[東] 堀井雅広,202005010108,,,,
9,1.0,2.0,ゴールデンライオン,牡4,56.0,内田博幸,2:12.9,1/2,102.6,14.0,488(-6),[西] 川村禎彦,202005010108,,,,
10,2.0,3.0,アルデエンブレム,牡4,56.0,宮崎北斗,2:13.1,1.1/4,47.4,10.0,478(-4),[西] 清水久詞,202005010108,,,,
11,7.0,14.0,シティーオブスター,牡4,56.0,津村明秀,2:13.3,1.1/2,16.0,7.0,508(-4),[東] 矢野英一,202005010108,,,,
12,5.0,10.0,シンアンドケン,牡5,56.0,野中悠太,2:13.3,クビ,44.6,9.0,486(-2),[西] 本田優,202005010108,,,,
13,1.0,1.0,ラムセスバローズ,牡5,57.0,丸山元気,2:13.4,クビ,62.2,11.0,508(+2),[東] 木村哲也,202005010108,,,,
14,8.0,16.0,ネコマヒカ,牡5,57.0,石川裕紀,2:13.6,1.1/4,151.5,16.0,524(-8),[西] 山内研二,202005010108,,,,
15,6.0,11.0,シゲルポインター,牡6,55.0,木幡育也,2:13.8,1.1/2,132.7,15.0,480(0),[東] 蛯名利弘,202005010108,,,,
16,2.0,4.0,アリスカン,牡6,57.0,嘉藤貴行,2:14.2,2.1/2,72.4,12.0,528(+18),[東] 田島俊明,202005010108,,,,
1,4.0,8.0,ロードグラディオ,牡4,57.0,ルメール,1:23.5,,10.1,5.0,486(0),[西] 西浦勝一,202005010109,,,,
2,8.0,15.0,エテルニテ,牝5,55.0,柴田善臣,1:23.7,1.1/4,31.8,11.0,492(-10),[西] 平田修,202005010109,,,,
3,4.0,7.0,バーンフライ,牡5,57.0,野中悠太,1:23.8,1/2,97.7,14.0,492(+8),[西] 矢作芳人,202005010109,,,,
4,7.0,14.0,サザンヴィグラス,牡5,57.0,丸山元気,1:23.8,クビ,7.2,3.0,498(+2),[東] 根本康広,202005010109,,,,
5,5.0,10.0,ゴールドラグーン,牡4,57.0,横山典弘,1:24.0,1.1/4,8.2,4.0,490(-10),[西] 斉藤崇史,202005010109,,,,
6,1.0,1.0,マイウェイアムール,牝5,55.0,内田博幸,1:24.0,アタマ,51.0,12.0,484(-4),[東] 林徹,202005010109,,,,
7,5.0,9.0,メイショウミライ,牡5,57.0,武豊,1:24.0,ハナ,5.6,2.0,484(-8),[西] 南井克巳,202005010109,,,,
8,6.0,12.0,ナンヨーイザヨイ,牡4,57.0,石橋脩,1:24.1,3/4,11.2,6.0,468(-4),[西] 松永幹夫,202005010109,,,,
9,3.0,6.0,パイルーチェ,牝6,55.0,横山和生,1:24.1,ハナ,22.5,9.0,488(+4),[東] 鈴木伸尋,202005010109,,,,
10,2.0,3.0,ハルクンノテソーロ,牡6,57.0,大野拓弥,1:24.4,1.3/4,20.7,8.0,476(0),[東] 高木登,202005010109,,,,
11,1.0,2.0,ラレータ,牡6,57.0,ミナリク,1:24.7,1.3/4,13.7,7.0,480(-6),[東] 林徹,202005010109,,,,
12,3.0,5.0,コウエイアンカ,セ5,57.0,田中勝春,1:24.8,クビ,27.0,10.0,480(+12),[西] 森秀行,202005010109,,,,
13,7.0,13.0,マイネルバールマン,牡6,57.0,丹内祐次,1:25.6,5,188.5,16.0,546(-4),[東] 青木孝文,202005010109,,,,
14,6.0,11.0,カタナ,牡5,57.0,松岡正海,1:25.6,ハナ,51.1,13.0,512(+10),[東] 上原博之,202005010109,,,,
15,2.0,4.0,ペイシャネガノ,牝4,55.0,Ｍ．デム,1:25.8,1.1/4,3.0,1.0,462(-2),[東] 深山雅史,202005010109,,,,
16,8.0,16.0,ゲキリン,牡6,57.0,北村宏司,1:26.0,1.1/4,155.2,15.0,484(+2),[西] 吉村圭司,202005010109,,,,
1,8.0,9.0,ラウダシオン,牡3,56.0,武豊,1:21.2,,5.5,3.0,490(0),[西] 斉藤崇史,202005010110,,,,
2,7.0,7.0,ハーモニーマゼラン,牡3,56.0,大野拓弥,1:21.5,2,16.3,6.0,510(-4),[東] 牧光二,202005010110,,,,
3,1.0,1.0,ゼンノジャスタ,牡3,56.0,田中健,1:21.7,1.1/4,9.5,4.0,468(-8),[西] 浅見秀一,202005010110,,,,
4,8.0,10.0,アブソルティスモ,牡3,56.0,ルメール,1:21.8,1/2,2.0,1.0,502(+2),[東] 藤沢和雄,202005010110,,,,
5,4.0,4.0,シャドウブロッサム,牝3,54.0,Ｍ．デム,1:21.8,アタマ,19.7,7.0,446(0),[西] 藤岡健一,202005010110,,,,
6,7.0,8.0,アルムブラスト,牡3,56.0,マーフィ,1:22.1,1.3/4,4.0,2.0,518(+10),[東] 高橋文雅,202005010110,,,,
7,2.0,2.0,ヴァルナ,牡3,56.0,横山典弘,1:22.3,1.1/4,14.4,5.0,476(-2),[西] 寺島良,202005010110,,,,
8,6.0,6.0,セイウンパワフル,牡3,56.0,ミナリク,1:22.4,3/4,69.0,9.0,478(0),[東] 斎藤誠,202005010110,,,,
9,5.0,5.0,コスモリモーネ,牡3,56.0,丹内祐次,1:22.7,1.3/4,182.8,10.0,498(0),[東] 高橋裕,202005010110,,,,
10,3.0,3.0,プリンスチャーム,牡3,56.0,田辺裕信,1:22.9,1.1/4,29.5,8.0,448(+2),[東] 栗田徹,202005010110,,,,
1,5.0,8.0,インビジブルレイズ,牡6,56.0,マーフィ,1:59.1,,17.1,8.0,462(-6),[西] 吉村圭司,202005010111,,,,
2,7.0,12.0,マイネルサーパス,牡4,56.0,丹内祐次,1:59.2,3/4,30.8,9.0,480(-2),[東] 高木登,202005010111,,,,
3,6.0,9.0,レッドガラン,牡5,56.0,Ｍ．デム,1:59.2,クビ,11.9,5.0,514(+4),[西] 安田隆行,202005010111,,,,
4,4.0,5.0,ゴーフォザサミット,牡5,57.0,北村宏司,1:59.2,アタマ,6.7,3.0,508(+8),[東] 藤沢和雄,202005010111,,,,
5,8.0,14.0,アイスストーム,牡5,56.0,武豊,1:59.4,3/4,7.2,4.0,524(-6),[西] 吉村圭司,202005010111,,,,
6,5.0,7.0,サトノワルキューレ,牝5,55.0,石川裕紀,1:59.5,3/4,55.8,12.0,462(+2),[西] 角居勝彦,202005010111,,,,
7,2.0,2.0,ダイワキャグニー,牡6,58.0,内田博幸,1:59.7,1,3.4,1.0,508(0),[東] 菊沢隆徳,202005010111,,,,
8,6.0,10.0,ミライヘノツバサ,牡7,56.0,木幡巧也,1:59.7,クビ,265.8,14.0,500(+2),[東] 伊藤大士,202005010111,,,,
9,7.0,11.0,フランツ,牡5,56.0,ルメール,1:59.8,クビ,3.5,2.0,438(+2),[西] 音無秀孝,202005010111,,,,
10,1.0,1.0,ロードヴァンドール,牡7,57.0,横山和生,1:59.9,1/2,41.0,11.0,506(-2),[西] 昆貢,202005010111,,,,
11,3.0,4.0,ドミナートゥス,牡5,56.0,大野拓弥,1:59.9,ハナ,15.6,7.0,488(+12),[西] 宮本博,202005010111,,,,
12,4.0,6.0,マイネルハニー,牡7,58.0,石橋脩,2:00.0,3/4,31.3,10.0,484(+2),[東] 栗田徹,202005010111,,,,
13,3.0,3.0,カヴァル,牡5,56.0,津村明秀,2:00.0,クビ,13.8,6.0,506(0),[東] 勢司和浩,202005010111,,,,
14,8.0,13.0,エンジニア,牡7,56.0,田辺裕信,2:00.1,1/2,126.7,13.0,486(+4),[東] 牧光二,202005010111,,,,
1,3.0,5.0,ドナアトラエンテ,牝4,54.0,マーフィ,1:47.2,,2.3,1.0,448(+10),[東] 国枝栄,202005010112,,,,
2,4.0,7.0,ミトロジー,牡4,56.0,丸山元気,1:47.5,1.3/4,7.7,4.0,486(+6),[東] 尾関知人,202005010112,,,,
3,6.0,10.0,マイネルミュトス,牡4,56.0,丹内祐次,1:47.5,クビ,20.9,7.0,474(+2),[東] 鹿戸雄一,202005010112,,,,
4,8.0,14.0,キタサンバルカン,牡4,56.0,北村宏司,1:47.7,1.1/4,5.2,2.0,440(+12),[東] 奥村武,202005010112,,,,
5,7.0,13.0,カナロアガール,牝4,54.0,田辺裕信,1:47.7,クビ,13.2,5.0,468(-2),[東] 田村康仁,202005010112,,,,
6,2.0,3.0,レローヴ,牝6,55.0,横山和生,1:47.8,クビ,307.8,14.0,510(+4),[東] 黒岩陽一,202005010112,,,,
7,5.0,8.0,イサク,牡4,56.0,津村明秀,1:47.9,1/2,5.9,3.0,476(+2),[東] 岩戸孝樹,202005010112,,,,
8,8.0,15.0,スズカノロッソ,牡5,56.0,野中悠太,1:47.9,クビ,50.1,11.0,494(+6),[東] 小島茂之,202005010112,,,,
9,4.0,6.0,シトラスクーラー,セ7,57.0,大野拓弥,1:48.0,1/2,24.4,8.0,458(-4),[東] 高木登,202005010112,,,,
10,6.0,11.0,コスモアイトーン,牡4,56.0,木幡巧也,1:48.6,3.1/2,349.5,15.0,472(+4),[東] 佐藤吉勝,202005010112,,,,
11,3.0,4.0,グレンフィナン,セ5,57.0,ミナリク,1:48.7,1/2,25.9,9.0,488(+10),[東] 鹿戸雄一,202005010112,,,,
12,7.0,12.0,リーゼントシャルフ,牡6,57.0,松岡正海,1:48.7,クビ,295.2,13.0,476(0),[東] 林徹,202005010112,,,,
13,5.0,9.0,オールステリーナ,牝5,55.0,武藤雅,1:48.9,1.1/2,99.4,12.0,464(-34),[東] 松山将樹,202005010112,,,,
14,2.0,2.0,アイスブラスト,牡4,56.0,吉田豊,1:49.0,1/2,14.5,6.0,490(0),[東] 戸田博文,202005010112,,,,
15,1.0,1.0,コスモミローディア,牡4,56.0,宮崎北斗,1:49.7,4,43.6,10.0,460(+8),[東] 清水英克,202005010112,,,,
1,6.0,11.0,ダイチヴィット,牡3,56.0,江田照男,1:27.5,,20.7,6.0,456(+4),[東] 竹内正洋,202005010201,,,,
2,7.0,13.0,トーセンリヤン,牡3,56.0,横山和生,1:28.0,3,11.1,5.0,442(-4),[東] 池上昌和,202005010201,,,,
3,3.0,5.0,グローサーベア,セ3,56.0,津村明秀,1:28.1,3/4,5.9,2.0,466(-6),[東] 矢野英一,202005010201,,,,
4,5.0,9.0,クァンタムリープ,牡3,54.0,木幡育也,1:28.3,1,21.3,7.0,474(-2),[東] 鹿戸雄一,202005010201,,,,
5,2.0,2.0,ドロス,牡3,56.0,ルメール,1:28.3,クビ,1.9,1.0,490(-10),[東] 新開幸一,202005010201,,,,
6,8.0,14.0,チェリーガイア,牝3,53.0,野中悠太,1:28.7,2.1/2,73.2,9.0,462(-2),[東] 小西一男,202005010201,,,,
7,2.0,3.0,トーセンレビュー,牡3,56.0,木幡巧也,1:29.0,2,115.2,10.0,514(0),[東] 松永康利,202005010201,,,,
8,1.0,1.0,マロンジェム,牡3,56.0,内田博幸,1:29.1,1/2,25.3,8.0,488(+12),[東] 稲垣幸雄,202005010201,,,,
9,4.0,6.0,フィーバス,牡3,56.0,ミナリク,1:29.8,4,7.2,4.0,476(+8),[東] 田中剛,202005010201,,,,
10,6.0,10.0,パレット,牝3,54.0,北村宏司,1:29.8,アタマ,205.6,13.0,448(+4),[東] 黒岩陽一,202005010201,,,,
11,7.0,12.0,キタノタカワシ,牡3,56.0,吉田豊,1:30.0,1,180.1,12.0,458(+8),[東] 土田稔,202005010201,,,,
12,5.0,8.0,エバーバリュー,牝3,54.0,松岡正海,1:30.0,クビ,249.9,15.0,386(+6),[東] 小島茂之,202005010201,,,,
13,4.0,7.0,キンバリープロセス,牡3,56.0,石橋脩,1:30.3,2,6.0,3.0,490(-14),[東] 手塚貴久,202005010201,,,,
